datetime,year,name,latitude,longitude,max_wind_knots,category
1851-06-25 21:00:00,1851,AL011851,28.2,-96.8,80,1
1851-08-23 21:00:00,1851,AL041851,30.1,-85.7,100,3
1852-08-26 06:00:00,1852,AL011852,30.2,-88.6,100,3
1852-09-12 00:00:00,1852,AL031852,28.0,-82.8,70,1
1852-10-09 21:00:00,1852,AL051852,29.9,-84.4,90,2
1854-06-26 12:00:00,1854,AL011854,26.2,-97.0,70,1
1854-09-08 20:00:00,1854,AL031854,31.7,-81.1,100,3
1854-09-18 21:00:00,1854,AL041854,28.9,-95.3,90,2
1855-09-16 03:00:00,1855,AL051855,29.2,-89.5,110,3
1856-08-10 18:00:00,1856,AL011856,29.2,-91.1,130,4
1856-08-31 06:00:00,1856,AL051856,30.2,-85.9,90,2
1857-09-13 00:00:00,1857,AL021857,33.9,-78.0,90,2
1858-09-16 17:00:00,1858,AL031858,40.9,-72.2,80,1
1858-09-16 18:00:00,1858,AL031858,41.4,-72.0,70,1
1859-09-16 00:00:00,1859,AL051859,30.3,-88.1,70,1
1859-10-28 18:00:00,1859,AL081859,27.7,-82.8,80,1
1860-08-11 20:00:00,1860,AL011860,29.2,-90.0,110,3
1860-09-15 04:00:00,1860,AL041860,29.3,-89.6,90,2
1860-10-02 17:00:00,1860,AL061860,29.5,-91.4,90,2
1861-09-27 17:00:00,1861,AL051861,34.5,-77.4,70,1
1861-11-02 10:00:00,1861,AL081861,34.7,-76.6,70,1
1865-09-13 21:00:00,1865,AL041865,29.8,-93.4,90,2
1865-10-23 10:00:00,1865,AL071865,24.6,-81.7,90,2
1865-10-23 14:00:00,1865,AL071865,25.4,-81.1,90,2
1866-07-15 12:00:00,1866,AL011866,28.5,-96.5,90,2
1867-06-22 14:00:00,1867,AL011867,32.9,-79.7,70,1
1867-10-04 15:00:00,1867,AL071867,29.2,-91.0,90,2
1867-10-06 15:00:00,1867,AL071867,29.6,-83.4,70,1
1869-08-17 07:00:00,1869,AL021869,28.1,-96.8,90,2
1869-09-05 12:00:00,1869,AL051869,29.2,-90.0,70,1
1869-09-08 21:00:00,1869,AL061869,41.0,-71.9,100,3
1869-09-08 22:00:00,1869,AL061869,41.4,-71.7,100,3
1869-10-04 19:00:00,1869,AL101869,41.3,-70.5,90,2
1869-10-04 20:00:00,1869,AL101869,41.7,-70.4,90,2
1869-10-04 23:00:00,1869,AL101869,43.7,-70.1,90,2
1870-07-30 18:00:00,1870,AL011870,30.5,-88.0,70,1
